preprocessamento,modelo,query_id,precision_at_10,recall_at_10,f1_at_10,ap,rr,ndcg_at_10
stemming,Vetorial (TF-IDF),140,0.2,0.3333333333333333,0.25,0.08415822157325979,0.125,0.2451562175552278
stemming,BM25,140,0.2,0.3333333333333333,0.25,0.16916171036238825,0.5,0.3925462634010175
stemming,Vetorial (TF-IDF),141,0.2,0.3333333333333333,0.25,0.16742507813936383,0.25,0.2121882558209537
stemming,BM25,141,0.2,0.3333333333333333,0.25,0.13923920578332344,0.25,0.22665420703192363
stemming,Vetorial (TF-IDF),142,0.0,0.0,0.0,0.05,0.05,0.0
stemming,BM25,142,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
stemming,Vetorial (TF-IDF),143,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6934264036172708
stemming,BM25,143,0.1,0.5,0.16666666666666669,0.5909090909090909,1.0,0.6131471927654584
stemming,Vetorial (TF-IDF),144,0.4,0.6666666666666666,0.5,0.6605311355311355,1.0,0.7269680061753996
stemming,BM25,144,0.4,0.6666666666666666,0.5,0.423015873015873,0.5,0.5106941928324288
stemming,Vetorial (TF-IDF),145,0.4,0.5714285714285714,0.47058823529411764,0.5335052737595111,1.0,0.6441281434529017
stemming,BM25,145,0.4,0.5714285714285714,0.47058823529411764,0.3080536562451068,0.5,0.49457095505440585
stemming,Vetorial (TF-IDF),146,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6199062332840657
stemming,BM25,146,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6199062332840657
stemming,Vetorial (TF-IDF),147,0.2,0.2,0.20000000000000004,0.2411400173745491,0.5,0.23516486475074658
stemming,BM25,147,0.3,0.3,0.3,0.24836516431756475,0.5,0.33025464306722735
stemming,Vetorial (TF-IDF),148,0.3,0.5,0.37499999999999994,0.4732919201606743,1.0,0.6413083956181767
stemming,BM25,148,0.2,0.3333333333333333,0.25,0.3213910563657565,1.0,0.5148586863637864
stemming,Vetorial (TF-IDF),149,0.4,0.36363636363636365,0.380952380952381,0.3415438011243386,1.0,0.45449827622138
stemming,BM25,149,0.4,0.36363636363636365,0.380952380952381,0.31653078056821377,1.0,0.4351098955930419
stemming,Vetorial (TF-IDF),150,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6934264036172708
stemming,BM25,150,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6934264036172708
stemming,Vetorial (TF-IDF),151,0.0,0.0,0.0,0.033024394319131165,0.08333333333333333,0.0
stemming,BM25,151,0.0,0.0,0.0,0.033923605146057696,0.05,0.0
stemming,Vetorial (TF-IDF),152,0.0,0.0,0.0,0.022764699358492995,0.045454545454545456,0.0
stemming,BM25,152,0.0,0.0,0.0,0.012891375809363878,0.025,0.0
stemming,Vetorial (TF-IDF),153,0.3,0.42857142857142855,0.3529411764705882,0.27718674281578654,0.5,0.3465885302021158
stemming,BM25,153,0.3,0.42857142857142855,0.3529411764705882,0.3117635344684491,0.5,0.3536573263781091
stemming,Vetorial (TF-IDF),154,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6480409554829326
